title: 追风筝的人, score:8.9, description:为你，千千万万遍
title: 小王子, score:9.0, description:献给长成了大人的孩子们
title: 围城, score:8.9, description:对于“人艰不拆”四个字最彻底的违抗
title: 解忧杂货店, score:8.6, description:一碗精心熬制的东野牌鸡汤，拒绝很难
title: 活着, score:9.1, description:活着本身就是人生最大的意义
title: 白夜行, score:9.1, description:暗夜独行的残破灵魂，爱与恶本就难分难舍
title: 挪威的森林, score:8.0, description:村上之发轫，多少人的青春启蒙
title: 嫌疑人X的献身, score:8.9, description:数学好是一种极致的浪漫
title: 三体, score:8.8, description:你我不过都是虫子
title: 不能承受的生命之轻, score:8.5, description:朝向媚俗的一次伟大的进军
title: 红楼梦, score:9.6, description:谁解其中味？
title: 梦里花落知多少, score:7.1, description:只是青春留下的余烬
title: 达·芬奇密码, score:8.2, description:一切畅销的因素都有了
title: 看见, score:8.8, description:在这里看见中国
title: 百年孤独, score:9.2, description:尼采所谓的永劫复归，一场无始无终的梦魇
title: 1988：我想和这个世界谈谈, score:7.9, description:车手韩寒的公路小说
title: 何以笙箫默, score:7.8, description:倒追有风险，入行需谨慎
title: 平凡的世界（全三部）, score:9.0, description:中国当代城乡生活全景
title: 简爱, score:8.5, description:灰姑娘在十九世纪
title: 哈利·波特与魔法石, score:9.0, description:羽加迪姆勒维奥萨！
title: 白夜行, score:9.2, description:封面剧透
title: 三体Ⅱ, score:9.3, description:无边的黑暗森林，比第一部更为恢弘壮丽
title: 飘, score:9.3, description:革命时期的爱情，随风而逝
title: 送你一颗子弹, score:8.6, description:犀利又温柔，穿过胸口隐隐作痛
title: 三体Ⅲ, score:9.2, description:终章，何去何从
title: 天才在左 疯子在右, score:8.2, description:简称“疯癫与文明”
title: 傲慢与偏见, score:8.8, description:所有现代言情小说的母体
title: 倾城之恋, score:8.5, description:一段姻缘，需要一座城的倾覆来成全
title: 三重门, score:7.4, description:“我是金子，我要发光的”
title: 杜拉拉升职记, score:7.8, description:职场丛林生存手册
title: 明朝那些事儿（壹）, score:8.7, description:历史本就是一件件“事儿”拼成的
title: 哈利·波特与阿兹卡班的囚徒, score:8.9, description:小天狼星布莱克
title: 目送, score:8.7, description:不必追
title: 情人, score:8.1, description:我已经老了，你呢？
title: 哈利·波特与密室, score:8.9, description:渐入佳境，魔法世界全貌初现
title: 万历十五年, score:8.9, description:见微知著，历史观的颠覆
title: 我们仨, score:8.7, description:平淡，坚忍，温情
title: 幻城, score:7.0, description:如今的小四已经无法评价，往事犹可追
title: 致我们终将逝去的青春, score:7.8, description:青春总是用残忍的方式提醒你它已退场
title: 1Q84 BOOK 1, score:8.3, description:村上的野望，欢迎来到1Q84年
title: 狼图腾, score:8.3, description:我们都是 狼的传人？
title: 微微一笑很倾城, score:8.0, description:一场盛大的意淫
title: 独唱团（第一辑）, score:7.8, description:独唱的人多了，也便成了团
title: 莲花, score:8.0, description:三个生命的交逢，灵魅清冷
title: 哈利·波特与火焰杯, score:9.0, description:整个系列的分水岭，暗色渐浓
title: 边城, score:8.6, description:如水一般的忧愁与怅惘
title: 月亮和六便士, score:9.0, description:有多少人会经历顿悟，就有更少的人甘愿自我放逐
title: 向左走·向右走, score:8.4, description:两条平行线相遇的可能
title: 活着, score:9.3, description:生的苦难与伟大
title: 穆斯林的葬礼, score:8.2, description:时代烙印鲜明的民族史诗
title: 从你的全世界路过, score:7.1, description:戳中了现代人的某些柔软之处
title: 悲伤逆流成河, score:6.2, description:少年不识愁滋味
title: 恶意, score:8.4, description:无缘由的恨，冰冷彻骨
title: 天龙八部, score:9.1, description:“有情皆孽，无人不冤”
title: 放学后, score:7.6, description:东野圭吾处女作
title: Harry Potter and the Deathly Hallows, score:8.9, description:final episode
title: 长安乱, score:7.4, description:韩少也会借古喻今了
title: 哈利·波特与混血王子, score:8.8, description:感情线纷乱的一部。再见邓布利多
title: 一个人的好天气, score:7.6, description:冬日暖阳的温煦感
title: 苏菲的世界, score:8.5, description:最平易近人的哲学入门
title: 许三观卖血记, score:8.7, description:余华的悲凉，都在那一碗炒猪肝里了
title: 1995-2005夏至未至, score:7.3, description:当青春遁入歧途
title: 撒哈拉的故事, score:9.0, description:关于漂泊的一切
title: 盗墓笔记, score:8.3, description:想象奇诡的大型RPG游戏
title: 霍乱时期的爱情, score:9.0, description:义无反顾地直达爱情的核心
title: 哈利·波特与凤凰社, score:8.7, description:暴脾气的哈利
title: 喜宝, score:8.1, description:爱情才是终极的奢侈品
title: 岛上书店, score:7.6, description:爱书的人从不孤独
title: 三生三世 十里桃花, score:7.9, description:大风刮过有话要说
title: 海边的卡夫卡, score:8.1, description:背负诅咒的少年，平行世界中的奥德赛
title: 文化苦旅, score:7.8, description:“历史文化散文”
title: 基督山伯爵, score:9.0, description:完美的复仇，金庸用法语写作应该就是这样
title: 窗边的小豆豆, score:8.7, description:真正懂孩子的教育经
title: 三国演义（全二册）, score:9.2, description:是非成败转头空
title: 黄金时代, score:8.8, description:能把性爱写得如此坦荡的，大概只有王二了
title: 悟空传, score:8.4, description:猴子还是那个猴子，世界早已不是原来的世界
title: 兄弟（上）, score:8.3, description:历史苦难中的个人灾变
title: 呼啸山庄, score:8.4, description:近乎暴虐的爱与恨，中文译名后无来者
title: 笑傲江湖（全四册）, score:9.0, description:武侠的壳，政治斗争的核
title: 少有人走的路, score:8.4, description:成熟的心智通向更完善的自我
title: 民主的细节, score:8.6, description:公民养成手册
title: 亲爱的安德烈, score:8.7, description:龙应台母子对话，两代人的思想碰撞
title: 灿烂千阳, score:8.8, description:唯有希望与爱可以驱散阴霾
title: 老人与海, score:8.3, description:正是悲壮赋予生活以意义
title: 遇见未知的自己, score:8.1, description:都市灵修速成
title: 一九八四·动物农场, score:9.3, description:一个预言和一个寓言，令人窒息的政治恐怖
title: 牧羊少年奇幻之旅, score:8.6, description:你自己就是最大的宝藏
title: 福尔摩斯探案全集（上中下）, score:9.2, description:侦探小说鼻祖
title: 小时代1.0折纸时代, score:6.5, description:温习了很多奢侈品品牌名称
title: 洛丽塔, score:7.7, description:我的生命之光，我的欲望之火
title: 百年孤独, score:8.9, description:拉丁美洲圣经
title: 1Q84 BOOK 2, score:8.4, description:情节铺展渐次清明，高潮序曲
title: 素年锦时, score:7.8, description:呢喃自语，清简自持
title: 情书, score:8.6, description:一场误会中的两段爱情，东方式的含蓄隐忍
title: 第一次的亲密接触, score:7.4, description:那时候，去麦当劳约会还很高端……
title: 神雕侠侣, score:8.8, description:至情至性，情大于武
title: 一座城池, score:7.4, description:可能是韩寒最好笑的小说
title: 茶花女, score:8.2, description:妓女应当拥有爱情吗？
title: 麦田里的守望者, score:7.9, description:塞林格的麦田里，到处是坠落的青春
title: 他的国, score:7.5, description:总有光芒将你引导到清澈的地方
title: 彼岸花, score:7.8, description:安妮宝贝第一部长篇，现实与虚构的重合
title: 西决, score:7.9, description:无关风月的非典型青春小说
title: 东方快车谋杀案, score:9.0, description:谋杀诡计惊人，波洛的抉择耐人寻味
title: 挪威的森林, score:8.5, description:初读是色情，再读是爱情，三读是世情
title: 这些都是你给我的爱, score:8.4, description:只言片语的温暖
title: 这些人，那些事, score:8.8, description:平淡叙述下的惊心动魄
title: 八月未央, score:7.5, description:八月是一阵季风，生命是一场幻觉
title: 当我谈跑步时我谈些什么, score:8.1, description:村上同志告诉我们，身体是革命的本钱
title: 明朝那些事儿（贰）, score:8.9, description:万国来朝与北京保卫战，燃
title: 清醒纪, score:7.9, description:遗忘就和记得一样是送给彼此的纪念
title: 一个陌生女人的来信, score:8.7, description:暗恋的极致
title: 蔡康永的说话之道, score:7.1, description:会说话的人运气都不会太差
title: 偷影子的人, score:7.8, description:为偷来的影子找到光芒
title: 陪安东尼度过漫长岁月, score:8.3, description:真正的片段式写作
title: 沉默的大多数, score:9.1, description:沉默是沉默者的通行证
title: 白鹿原, score:8.6, description:中国乡村史诗
title: 芒果街上的小屋, score:7.8, description:那些微尘般漂浮的生活
title: 羊脂球, score:8.1, description:资产阶级的道貌岸然
title: 鲁滨逊漂流记, score:8.0, description:最早的荒野求生
title: 灌篮高手31, score:9.5, description:全剧终
title: 撒哈拉的故事, score:9.2, description:游荡的自由灵魂
title: 巴黎圣母院, score:8.3, description:潜藏于残缺下的美与崇高
title: 肖申克的救赎, score:9.1, description:希望让人自由，电影实在太有名
title: 麦田里的守望者, score:8.1, description:反英雄霍尔顿的一生
title: 无声告白, score:8.2, description:莉迪亚死了，可他们还不知道
